year,contract_id,C-Adult BMI Assessment,C-Annual Flu Vaccine,C-Breast Cancer Screening,C-Call Center - Foreign Language Interpreter and TTY Availability,C-Care Coordination,C-Care for Older Adults - Functional Status Assessment,C-Care for Older Adults - Medication Review,C-Care for Older Adults - Pain Assessment,C-Colorectal Cancer Screening,C-Complaints about the Health Plan,C-Customer Service,C-Diabetes Care - Blood Sugar Controlled,C-Diabetes Care - Eye Exam,C-Diabetes Care - Kidney Disease Monitoring,C-Getting Appointments and Care Quickly,C-Getting Needed Care,C-Health Plan Quality Improvement,C-Improving Bladder Control,C-Improving or Maintaining Mental Health,C-Improving or Maintaining Physical Health,C-Medication Reconciliation Post-Discharge,C-Members Choosing to Leave the Plan,C-Monitoring Physical Activity,C-Osteoporosis Management in Women who had a Fracture,C-Plan All-Cause Readmissions,C-Plan Makes Timely Decisions about Appeals,C-Rating of Health Care Quality,C-Rating of Health Plan,C-Reducing the Risk of Falling,C-Reviewing Appeals Decisions,C-Rheumatoid Arthritis Management,C-Special Needs Plan (SNP) Care Management,C-Statin Therapy for Patients with Cardiovascular Disease,D-Appeals Auto-Forward,D-Appeals Upheld,D-Call Center - Foreign Language Interpreter and TTY Availability,D-Complaints about the Drug Plan,D-Drug Plan Quality Improvement,D-Getting Needed Prescription Drugs,D-MPF Price Accuracy,D-MTM Program Completion Rate for CMR,D-Medication Adherence for Cholesterol (Statins),D-Medication Adherence for Diabetes Medications,D-Medication Adherence for Hypertension (RAS antagonists),D-Members Choosing to Leave the Plan,D-Rating of Drug Plan,D-Statin Use in Persons with Diabetes (SUPD),Financial Reasons for Disenrollment,Problems Getting Information and Help from the Plan,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Problems with Prescription Drug Benefits and Coverage
2020,H0710,100.0,,55.0,97.0,,99.0,99.0,100.0,89.0,0.05,,91.0,98.0,100.0,,,,,84.0,64.0,64.0,3.0,32.0,,4.0,100.0,,,,100.0,,98.0,79.0,0.0,,95.0,0.05,,,92.0,89.0,82.0,86.0,82.0,3.0,,86.0,,,,,
2020,H0712,98.0,70.0,74.0,90.0,83.0,72.0,87.0,84.0,66.0,0.37,87.0,73.0,76.0,95.0,77.0,81.0,,46.0,90.0,66.0,58.0,19.0,53.0,,9.0,99.0,84.0,84.0,63.0,85.0,80.0,,80.0,4.8,,79.0,0.37,,89.0,99.0,70.0,80.0,81.0,83.0,19.0,83.0,83.0,15.0,19.0,23.0,35.0,
2020,H0724,,69.0,,97.0,85.0,,,,,1.47,92.0,63.0,53.0,,75.0,,,,,,13.0,32.0,,,,,,83.0,,,,,,11.2,,98.0,1.47,,,99.0,82.0,78.0,76.0,76.0,32.0,82.0,82.0,19.0,22.0,28.0,42.0,
2020,H0755,99.0,77.0,74.0,98.0,85.0,,,,77.0,0.14,90.0,86.0,84.0,98.0,77.0,82.0,,38.0,84.0,69.0,64.0,10.0,51.0,33.0,7.0,100.0,84.0,84.0,55.0,100.0,80.0,,82.0,0.1,95.0,98.0,0.14,,89.0,99.0,78.0,82.0,83.0,86.0,10.0,84.0,80.0,26.0,9.0,16.0,20.0,
2020,H0798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H0838,100.0,72.0,64.0,94.0,80.0,90.0,100.0,84.0,69.0,0.41,86.0,85.0,69.0,96.0,72.0,78.0,,48.0,83.0,66.0,82.0,17.0,55.0,,8.0,96.0,83.0,86.0,65.0,89.0,93.0,75.0,78.0,3.6,,84.0,0.41,,85.0,99.0,70.0,83.0,84.0,86.0,17.0,87.0,81.0,10.0,25.0,34.0,51.0,
2020,H0908,96.0,,77.0,97.0,,92.0,99.0,96.0,80.0,,,67.0,68.0,,,,,,81.0,70.0,8.0,,,,,,,,,,,61.0,,,,98.0,,,,99.0,84.0,75.0,85.0,74.0,,,90.0,14.0,,19.0,26.0,
2020,H0913,98.0,67.0,71.0,90.0,85.0,81.0,96.0,97.0,61.0,0.54,88.0,70.0,71.0,97.0,75.0,80.0,,,69.0,71.0,46.0,27.0,51.0,,9.0,100.0,83.0,85.0,79.0,94.0,84.0,,77.0,1.9,,79.0,0.54,,90.0,99.0,72.0,77.0,80.0,81.0,27.0,87.0,81.0,16.0,18.0,32.0,46.0,
2020,H0927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H0969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,H0982,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,
2020,H1016,100.0,62.0,82.0,92.0,87.0,,,,79.0,0.05,91.0,88.0,74.0,98.0,74.0,83.0,,56.0,82.0,72.0,73.0,11.0,60.0,44.0,10.0,98.0,87.0,88.0,63.0,96.0,70.0,,81.0,4.2,76.0,97.0,0.05,,88.0,99.0,85.0,81.0,82.0,87.0,11.0,83.0,79.0,22.0,9.0,18.0,25.0,14.0
2020,H1019,100.0,62.0,86.0,98.0,86.0,96.0,97.0,98.0,87.0,0.15,92.0,88.0,86.0,98.0,78.0,83.0,,50.0,83.0,72.0,85.0,14.0,59.0,70.0,9.0,99.0,89.0,91.0,65.0,99.0,86.0,65.0,83.0,0.6,86.0,98.0,0.15,,90.0,99.0,91.0,87.0,88.0,89.0,14.0,89.0,88.0,13.0,16.0,21.0,33.0,
2020,H1032,98.0,62.0,80.0,90.0,87.0,89.0,94.0,93.0,77.0,0.22,89.0,82.0,85.0,97.0,78.0,85.0,,50.0,82.0,70.0,73.0,17.0,53.0,64.0,9.0,97.0,87.0,87.0,62.0,97.0,74.0,,78.0,1.2,100.0,81.0,0.22,,92.0,99.0,74.0,82.0,84.0,85.0,17.0,86.0,85.0,25.0,20.0,23.0,35.0,
2020,H1035,99.0,72.0,80.0,95.0,87.0,97.0,96.0,98.0,84.0,0.03,92.0,85.0,73.0,96.0,80.0,86.0,,49.0,88.0,70.0,68.0,4.0,58.0,62.0,9.0,98.0,88.0,89.0,62.0,89.0,75.0,,77.0,0.0,,95.0,0.03,,90.0,100.0,87.0,89.0,86.0,89.0,4.0,89.0,85.0,21.0,10.0,13.0,26.0,10.0
